id2,body,Is_English,like_count
369,@duolingo I tried but with stuff like that how can I get a good score?! How can this even happen? https://t.co/0Q1SEz5OsA,1,3
370,"@duolingo @duolingo @duolingoindia plz duo I request for

the first and last time, my streak of 410+days got reset bcz my device was broken for 2 weeks...

My duo username-PrimeNeverLoses Please I request team duo, restore my streak for once, so I can continue learning please",1,2
371,"@duolingo Your app doesn’t make sense. You’re teaching me the simple things over and over again but then when I take like a certain course, you’re asking me to read words that you never taught me yet in the beginning of the lesson how does that make sense?",1,1
372,@duolingo Limited to app. Region limited. Shitty collab. Very embarrassing,1,1
374,@duolingo You all need to bring back Duo outfits and other perks to buy with gems. Just buying streak freezes is boring,1,0
375,@duolingo https://t.co/VSve6kqOpN,1,0
376,@duolingo 🔥🔥,1,0
377,@duolingo This app sucks its very repetitive with the same words easy words over and over again and they put you through test with words that they never taught you in a lesson previous to giving you that test. This is why you can’t learn Spanish with a app you need to go to a school.,1,0
378,"@duolingo @duolingo @duolingoindia hi team duo,

My streak of 410+days got reset, bcz my device was broken for more than a week. My duo username- PrimeNeverLoses I request, please restore my streak so my motivation comes back, pls I beg you guys please",1,0
379,@duolingo @duolingo why I can’t skip in these type of exercises? It’s impossible to skip it and it’s Chinese https://t.co/1o76zkJvW7,1,0
380,@duolingo @duolingo please can you respond to my multiple messages ?,1,0
381,@duolingo How can I get an internship at Duo?,1,0
382,@duolingo Why don't you answer your emails or even tweets lately?,1,0
383,"@duolingo genshin impact, i didn't know you was freaky like that",1,0
384,@duolingo Hi im having trouble I cant continue the quest because I forgot to login for several days and now the quest is gone on my end.,1,0
385,@duolingo This is a rip off do not pay your money for this app,1,0
386,@duolingo Please    I want a new2026 ian redeem code duo!!,1,0
387,"@duolingo ⚠️ SCAM ALERT: FAKE PROMOS!

They advertised a ""60% OFF"" renewal for my Family Plan, but silently tried to charge the FULL PRICE ! This is ""bait-and-switch"" fraud.

DO NOT TRUST THEIR DISCOUNTS! They lure you in with a deal and then empty your wallet. Shameful behavior.",1,0
388,@duolingo Hey can you explain how to actually claim the reward? It doesn't let me,1,0
389,"@duolingo hi duolingo, I've recently lost my streak and I should have gotten a streak restore pop up. Could you please open DM's so I can share details?",1,0
391,@duolingo @grok explain this,1,1
392,@duolingo Firing shots,1,0
393,@duolingo this is just the plot of Eternal Sunshine,1,0
394,@duolingo Lmao even when you win with women you still lose.,1,0
395,@duolingo https://t.co/wBDCmbPFjN,1,0
396,@duolingo 🥴,1,0
397,"@duolingo I really do understanding chess mames because of you thank you duolingo , you are the best",1,0
399,@duolingo When will I be able to give Duo a beatdown in $DUOL chess. He deserves it,1,4
400,@duolingo What is wrong with this section. It stops here. I can't complete it 😫 https://t.co/AiVU3dJgZp,1,1
401,@duolingo Hitting where it hurts the most 🥲,1,0
402,@duolingo duolingo woke up and chose violence today,1,0
403,"@duolingo Good
👏👏",1,0
404,@duolingo Looking for a 780+ days streak back 😭😭😭 please help me,1,0
406,@duolingo Let me live my life! https://t.co/YxMherXI8S,1,0
407,@duolingo I have an idea for your app that will take it to next level if you care to hear I can share it with you,1,0
408,@duolingo @duolingo I would like to make a request?,1,0
409,@duolingo The stalemate logic is messed up. I hate you,1,0
410,"@duolingo Since yesterday there is a problem with the audio section(in German)&amp; in the middle of the story,the ability to continue suddenly stops🥺
I.K.",1,0
412,"@duolingo ‘it doesn’t mean anything’ is the greatest lie ever told 

also sorry for cheating on you Latin, but i really do enjoy extra chess tutelage",1,0
414,@duolingo https://t.co/69Goq1cqBT,1,4
415,@duolingo How are you pressing us out to learn Spanish...and you're on here playing games?!?! Vuelve al trabajo #Duolingo!,1,2
416,@duolingo 🤣🤣🤣🤣🤣,1,0
417,@duolingo Crypto,1,0
418,@duolingo Oscar a freeek 👅  blah 👅,1,0
419,@duolingo Create a AI course :D,1,0
420,@duolingo Discounts on super? 👀👀👀,1,0
421,"@duolingo pls don’t take my superduolingo away. its only been a day and a half 

pls it gets me through breakfast",1,0
423,@duolingo and they want to sell the home they bought for $1000 for $6.7 million,1,1
424,@duolingo White has already won,1,0
425,@duolingo pls help me get back 500 streak plssss https://t.co/D2jpkVuw2d,1,1
427,"@duolingo The enshittification of this app is one of the saddest things I’ve ever witnessed. 

I voluntarily abandoned the Diamond Tournament because I physically cannot tolerate this AI slop anymore. It makes my skin crawl.",1,3
428,@duolingo 👀👀,1,2
429,"@duolingo Side-view avatars render distorted in leagues/posts for over a month. Editor view is normal but server version isn’t. Multiple emails, only automated replies. Is this intended?",1,2
430,@duolingo Hey @duolingo I emailed you weeks ago but you still haven’t responded. I can’t get subtitles when I have video calls anymore. Is ignorance the best way to treat paying customers?,1,2
431,@duolingo Hi I am not getting any sound on Duolingo. Is there an issue or is it maybe just me? It was fine until yesterday.,1,1
432,"@duolingo Hey, I lost my streaks as I wasn't able to practice due to personal circumstances. I wasn't offered a streak repair when I did a lesson yesterday . Can you help me repair my streak please, I was almost at 200 days . My username is sarina396821 in the app. 🙏",1,1
433,@duolingo who's oscar,1,1
434,@duolingo We challenge you to a chess match...in arabic,1,0
435,"@duolingo hey could you help, i did my duo yesterday but it says today i lost my streak?? my username is @__imogen__",1,0
436,@duolingo I get lessons from Oscar,1,0
440,@EinfachBlue just doing our part,1,30
441,@duolingo Did you program it with AI too,1,1222
442,@duolingo Focus on your stock price.,1,365
443,@duolingo Noted.,1,9
444,@duolingo That’s what chess .com is for https://t.co/hCiBlaVwv8,1,2
445,@duolingo When bird game 3 integration https://t.co/fwxWgIUlUb,1,0
446,@duolingo checkmate just became a personality trait.,1,0
447,@duolingo I had a lesson this week,1,0
448,@duolingo I love it ♟️,1,0
449,@duolingo We have more pressing matter https://t.co/3y4KCLq6KM,1,37
450,"@duolingo You can post regularly, sure would be nice if you responded to your customers. I have messaged you numerous times about tech issues and no one responds. My poor elderly mother is going to lose her streak. https://t.co/nm78PGZPaV",1,5
451,@duolingo Care to show how to access 🥲,1,3
452,@duolingo Bring in Chess PvP,1,2
453,@duolingo One suggestion m: We wish launch Chinese Mahjong Online. It can increase subscribers in China。,1,2
454,@duolingo Why band-aid? Because of the share price collapse?,1,1
455,@duolingo Wish you well... https://t.co/FArHu6fufb,1,1
456,@duolingo @julesgambit Fix your ugly display! https://t.co/kJY4dzWkzV,1,1
457,@duolingo im doing it and im suck 😭,1,1
458,"@duolingo Thank you for giving me the opportunity to learn to play chess for the first time in my life! No one ever taught me beyond very basic moves. I never won a game before.

Now I have won over 250 matches! This was a major bucket list goal of mine. Grateful!",1,0
